Date,Confirmed,Deaths
2020-01-21,1,0
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,1,0
2020-01-25,3,0
2020-01-26,3,0
2020-01-27,4,0
2020-01-28,6,0
2020-01-29,7,0
2020-01-30,11,0
2020-01-31,14,0
2020-02-01,17,0
2020-02-02,20,0
2020-02-03,20,0
2020-02-04,20,0
2020-02-05,23,0
2020-02-06,25,0
2020-02-07,25,0
2020-02-08,25,0
2020-02-09,26,0
2020-02-10,26,0
2020-02-11,26,0
2020-02-12,28,0
2020-02-13,29,0
2020-02-14,33,1
2020-02-15,41,1
2020-02-16,53,1
2020-02-17,59,1
2020-02-18,65,1
2020-02-19,73,1
2020-02-20,85,1
2020-02-21,93,1
2020-02-22,105,1
2020-02-23,132,1
2020-02-24,144,1
2020-02-25,157,1
2020-02-26,164,1
2020-02-27,186,3
2020-02-28,210,4
2020-02-29,230,5
2020-03-01,239,5
2020-03-02,254,6
2020-03-03,268,6
2020-03-04,284,6
2020-03-05,317,6
2020-03-06,349,6
2020-03-07,408,6
2020-03-08,455,6
2020-03-09,488,7
2020-03-10,514,9
2020-03-11,568,12
2020-03-12,620,15
2020-03-13,675,19
2020-03-14,716,21
2020-03-15,780,22
2020-03-16,814,24
2020-03-17,829,28
